inputs,outputs
"is it going to san_jose_thursday_weather in the next 7 days ok, could you please let me know what location i should look up data for? san_jose. it will rain monday, tuesday, and thursday in san_jose. thank you car.",you're welcome!
what is the date and time of my next dentist_appointment? your next dentist_appointment is on the 3rd at 7 pm. okay thank you car.,you are welcome driver.
what is the highest temperature in new_york right now today's highest temperature in new_york is predicted to be 50f thanks.,no problem.
"add my dentist appointment to the calendar i will add it, what date and time would you like?  the 12th at 11 am please added your dentist appointment on the 12th at 11 am to the calendar.  okay thank you.",glad to help
"find a tea shop there is a starbucks Starbucks_distance away. give me the address. the address is Starbucks_address, it's Starbucks_distance away and there is Starbucks_traffic_info on our way thank you car, let's go there","you're welcome, on our way. we should be there soon."
i need a gas station with the least amount of traffic.,76 at 76_address is the only gas station that i can find. it is 76_distance away through 76_traffic_info
will there be hail in the forecast for oakland next week? there is no forecast of hail in oakland next week. thank you.,anytime.
what day and time is my football_activity? your football_activity is on the 8th at 7 pm. thanks!,you're welcome
what is the date of my next tennis_activity and who will be attending?,you have two tennis appointments scheduled for the same time and date; both on tennis_activity_date at 11 am but one with father and one with jeff. is that a problem?
what is the local weather forecast for this week,for what city would you like the weekly forecast for?
set a reminder for yoga on the 2nd with father at 5pm,"okay, scheduling yoga with your father for the 2nd at 5pm."
"directions to local hotel i have no hotels listed as local.  what about a rest stop while avoiding heavy traffic. The_Westin located at 329 el camino real is 4 miles away without any traffic sounds great, thank you.",anytime!
"where does my friend live? you have two friends listed; jill and tom, which one? the one closest to my location.",jill's house is 5 miles away but there is a road block nearby. tom's house is 8 miles away but we should pass through the same road block
check weather for new_york city,what time period are you interested in?
take me to the nearest chinese restaurant there are Jing_Jing 4 miles away and Panda_Express 6 miles away: since there is no traffic on the route to Panda_Express i vote for its chicken with orange and shrimps with nuts. what is the address of Jing_Jing. Jing_Jing is at 113 arbol dr. set gps for a route with Panda_Express_traffic_info please. the only route to Jing_Jing has moderate traffic. is that okay? yes that's fine. please set the gps.,gps is set to Jing_Jing at 113 arbol dr.
what's the weather like this week,for what city would you like to know the weather for?
please give me all relevant information about my meeting.,you have a meeting on meeting_date at meeting_time with meeting_party in the 102 conference room to go over the budget
is it gonna be humid in grand_rapids on wednesday?,it will be stormy in grand_rapids on wednesday.
is there rain on sunday,what city would you like the forecast for?
set a reminder that i have football at 1pm next wednesday with martha,i have scheduled football at 1pm next wednesday with martha
what time is my yoga class,your yoga class is thursday at 7pm.
what's the forecast for new_york city what days are you interested in? will it be new_york_sunday_weather today? it will not be cloudy today in new_york. thanks!,"you're welcome, have a great day."
what is the address of the local hospital?,Stanford_Express_Care is at 214 el camino real.
is the weather atherton_sunday_weather in atherton now? it is not atherton_sunday_weather in atherton now. thanks.,no problem.
find out what time my eye doctor_appointment is,your optometrist_appointment is scheduled for 3pm on thursday.
"what's the weather like for what city would you like to know the weather for? find out if it is humid in new_york, this tuesday.","tuesday in new_york should not be humid, frost is predicted with a high of 40f."
